Brand,Date,Source,Screenname,Display Name,Sentiment,Content,Created Date/Time,Closed Date/Time,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Shares,Verified Account,Post Type,Agent Ticket ID,Email Ticket ID,Email Ticket Assigned To,Email Ticket Status,Sub-Source,Ratings,Note1,Note2,Note3,Forums Response Comment,Forums Response By,Forums Response Time,Business Location,App Version,Device Name,Os Version,Others,Category,SubCategory,PostType,Rating,General
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,"मेरा sales parson humse baat nhi kr rhaa, bahane bna raha hai.  plzz mera micro Atm sdl304453 Deactivate krke sdl452769 pr Activate kr dijiye. Help me",2024-03-31 16:46:18,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=725862016284707&reply_comment_id=1617162995766743,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,SPICE MONEY 9758539666,2024-03-31 16:46:10,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=725862016284707&reply_comment_id=1532422063986319,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki is concern  ki puri jankari ke liye aap hamare sath jude rahein,jaldi hi information share kiya jayega. Regards , Team Spice Money",2024-03-31 16:42:13,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgxEBuCM8LTGUawCPm14AaABAg.A1bchWzD9Q8A1dnp25JyS6,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki is concern  ki puri janakri ke liye aap hamare sath jude rahein, jaldi hi information share kiya jayega. Regards , Team Spice Money",2024-03-31 16:41:02,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugw9FDOsSp2RtZuYDZx4AaABAg.A1dFzRy_sE9A1dngN0A5xH,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume inbox me share karein, hamari customer care team aapse jald hi sampark karegi. Regards, Team Spice Money",2024-03-31 16:38:10,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=928412799060281&reply_comment_id=1190198859024479,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings ! Aap Spice Money app ya B2B web portal me IIBF BC/ BF certification tile par jakar certificate upload karein. Regards, Team Spice Money",2024-03-31 16:36:35,,https://www.facebook.com/634639855377280/posts/818033483704582?comment_id=450262467430866&reply_comment_id=772463077926322,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume inbox me share karein, hamari customer care team aapse jald hi sampark karegi. Regards, Team Spice Money",2024-03-31 16:26:50,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=2183172568691263&reply_comment_id=7951862334841367,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Mera spice money ka I'd nhi khul Raha hai re kyc mangta hai kiya kare or kaise hoga?,2024-03-31 15:51:22,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=928412799060281,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@shrirampandey1198,@shrirampandey1198,Neutral,इस कम्पनी के के तरफ से आपका कोई नहीं सुनने वाला नहीं है आपका पैसा डूब जाएगे और परेशानी अलग होगा कोई मत भरोसा करना जिसका id चल रहा उसका to सही है,2024-03-31 15:38:32,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=Ugxu49Y7HIqMkMDXpJd4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Twitter.com,SpiceMoneyIndia,Spice Money,Neutral,"@MdSec63 Dear Sir, Namaskar! Aapko batana chahenge ki  NOC ke regarding aapka concern already hamare team ki taraf forward kiya gaya hai, hamari team is par kaam kar rahi hai . Regards, Team Spice Money",2024-03-31 15:35:37,,https://twitter.com/SpiceMoneyIndia/status/1774377500363080128,Male,,,,0,0,6099,"Noida, india",0,0,0,True,Tweet,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings! Hamare grahak sewa adhikari aapse jald hi sampark karenge. Regards, Team Spice Money",2024-03-31 15:29:52,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=725862016284707&reply_comment_id=1067200781015019,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume share karein, hamari official customer care team aapse jald hi sampark karegi. aap hamse hamare official customer care 0120-3645645  par bhi sampark kar sakate hain. Regards, Team Spice Money",2024-03-31 15:29:05,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgzQmt6Z-guu2BRBp9t4AaABAg.A1dcmq9hTdfA1dfSNZVa1L,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,"मेरा sales parson humse baat nhi kr rhaa, bahane bna raha hai.  plzz mera micro Atm sdl304453 Deactivate krke sdl452769 pr Activate kr dijiye. Help me",2024-03-31 15:16:39,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=725862016284707,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki is concern ke regarding aap hamare sath jude rahein,jaldi hi information share kiya jayega. Regards , Team Spice Money",2024-03-31 15:06:02,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=3630825063899725&reply_comment_id=7423294571094213,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@sbprinting7928,@sbprinting7928,Neutral,Faltu hain spice money I'd deactivate kar deta Hain.,2024-03-31 15:05:48,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgzQmt6Z-guu2BRBp9t4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki is concern ke regarding aap hamare sath jude rahein,jaldi hi information share kiya jayega. Regards , Team Spice Money",2024-03-31 15:03:47,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgzTnjXcNqZBD4pWb3F4AaABAg.A1badcOCjPPA1dcZBfd8HL,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Meri I'd bahut din se band hai,2024-03-31 14:55:10,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=1130759234783473,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Upgrade hogi ya new purchase krni pdegi,2024-03-31 14:45:10,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=3630825063899725,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Mere pass iibf ka certicate hai,2024-03-31 14:28:22,,https://www.facebook.com/634639855377280/posts/818033483704582?comment_id=450262467430866,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Namaskar! Aapse Batchit ke anusar IIBF certificate ke  baare me hamari taraf se aapko jankari share kar di gayi hai. Adhik jankari ke liye aap hamare official customer care number 0120-3645645 par bhi sampark kar sakte hain. Regards, Team Spice Money",2024-03-31 13:11:10,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=425219806856032&reply_comment_id=383899467863640,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,"सिर्फ 👉 3000/- बचा के आप पा सकते हैं 👉2️⃣1️⃣ लाख तक का भुगतान और साथ में 1️⃣5️⃣ लाख तक का बीमा भी। 
अधिक जानकारी के लिए मुझे संपर्क करें।
http://mydc.in/?l=9506364000-1 

यदि आप रोजगार की तलाश में हैं तो भी सम्पर्क करें।

https://www.facebook.com/giriji74?mibextid=ZbWKwL",2024-03-31 13:04:17,,https://www.facebook.com/634639855377280/posts/818033483704582?comment_id=919278326557351,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings! As per discussed with you your concern  regarding IIBF certificate, AEPS transaction issue, information  shared from our end .If you have any query,you can also contact us on our official customer care number 0120-3645645 Regards, Team Spice Money",2024-03-31 12:55:30,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=1577015719785354&reply_comment_id=406392985456977,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Twitter.com,SpiceMoneyIndia,Spice Money,Neutral,"@NagpalSgnr37336 Dear Sir, Greetings! As per discussed with you your concern  regarding ID suspension issue, information  shared from our end .If you have any query,you can also contact us on our official customer care number 0120-3645645 Regards, Team Spice Money",2024-03-31 12:40:53,,https://twitter.com/SpiceMoneyIndia/status/1774333527191949671,Male,,,,0,0,6096,"Noida, india",0,0,0,True,Tweet,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings! We are trying to contact you but your number is not contactable. Please share your contact details and suitable times. Regards, Team Spice Money",2024-03-31 12:09:46,,https://www.facebook.com/634639855377280/posts/816150883892842?comment_id=708274464853101&reply_comment_id=400549342688431,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Kaise pahchan kare divice ka,2024-03-31 12:05:10,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=2183172568691263,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki ye rules UIDAI ki taraf se sabhi fintech platform ke liye banaye gaye hain. Jo aapki suraksha ko dhyan me rakhkar banaya jata hai. Regards, Team Spice Money",2024-03-31 11:45:05,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgwdZ0psbpc9LzpYmY94AaABAg.A1bLGqWvLtDA1dGosgRO7t,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@manoj24929,@manoj24929,Neutral,Kya Morpho MSO chalu rahega ya band ho jayega,2024-03-31 11:37:48,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugw9FDOsSp2RtZuYDZx4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki ye rules UIDAI ki taraf se sabhi fintech platform ke liye banaye gaye hain. Jo aapki suraksha ko dhyan me rakhkar banaya jata hai. Adhik jankari ke liye aap hamare sath jude rahein,jaldi hi information share kiya jayega . Regards, Team Spice Money",2024-03-31 11:15:02,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgwgutSVXujXu0mA4G54AaABAg.A1b0qfzuKPkA1dDNf2p9nt,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki ye rules UIDAI ki taraf se sabhi fintech platform ke liye banaye gaye hain. Jo aapki suraksha ko dhyan me rakhkar banaya jata hai. Adhik jankari ke liye aap hamare sath jude rahein,jaldi hi information share kiya jayega . Regards, Team Spice Money.",2024-03-31 11:12:11,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugz-AbnYb5z5uQ4AyPt4AaABAg.A1ayC65L_1BA1dD2sqEAi_,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Upesh Barman sahi baat,2024-03-31 10:43:47,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=728479685821992&reply_comment_id=1358448048176325,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@NagendraKumar-fq3yq,@NagendraKumar-fq3yq,Neutral,4:33,2024-03-31 10:30:24,,https://www.youtube.com/watch?v=0jM8DQER-qY&lc=Ugx27m9rdOox9PZcsSB4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume inbox me share karein, hamari customer care team aapse jald hi sampark karegi. Regards, Team Spice Money",2024-03-31 10:29:11,,https://www.facebook.com/634639855377280/posts/818033483704582?comment_id=794147712619980&reply_comment_id=399239359523861,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings!  RBI ke nirdeshanusar, Account opening service ko use karne ke liye sabhi BC partners ko IIBF BC/BF certification karna jaruri hai, samay rahte ise jarur pura karein. Regards ,Team Spice Money",2024-03-31 10:16:08,,https://www.facebook.com/634639855377280/posts/818033483704582?comment_id=2177952912550742&reply_comment_id=912633500643842,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki ye rules UIDAI ki taraf se sabhi fintech platform ke liye banaye gaye hain. Jo aapki suraksha ko dhyan me rakhkar banaya jata hai. Regards, Team Spice Money.",2024-03-31 10:11:40,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=728479685821992&reply_comment_id=723447329906050,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume share karein, hamari official customer care team aapse jald hi sampark karegi. aap hamse hamare official customer care 0120-3645645  par bhi sampark kar sakate hain. Regards, Team Spice Money",2024-03-31 10:06:44,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgxL_fROg4e3fMhHszR4AaABAg.A1boYL1CtNQA1d5ZR-Lz59,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume share karein, hamari official customer care team aapse jald hi sampark karegi. aap hamse hamare official request hai ki please apna Mobile number & email id hume customer care 0120-3645645  par bhi sampark kar sakate hain. Regards, Team Spice Money",2024-03-31 10:03:28,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=Ugxnu1zTxAdoxStX7Sx4AaABAg.A1bKFb5U83fA1d5BV4JQMt,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Aapko batana chahenge ki ye rules UIDAI ki taraf se sabhi fintech platform ke liye banaye gaye hain. Jo aapki suraksha ko dhyan me rakhkar banaya jata hai. Regards, Team Spice Money.",2024-03-31 10:00:32,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgzrYvuNtnx1kNQ2dL14AaABAg.A1bGYeGbENLA1d4r15-bnJ,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"प्रिय महोदय, नमस्कार! आपको बताना चाहेंगे की ये नियम  UIDAI की तरफ से सभी fintech platform के लिए बनाये गए हैं। जो आपकी सुरक्षा को ध्यान में रख कर बनाया जाता है । सादर, टीम स्पाइस मनी",2024-03-31 09:52:35,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgwZz_R1eSK_lBSOtsV4AaABAg.A1awbfk5UNsA1d3wtHtwt7,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Twitter.com,SpiceMoneyIndia,Spice Money,Neutral,"@skygupta007 Dear Sir, Greetings! Please share your email id and mobile number in inbox .we'll reach out to you to resolve all your concerns.Regards, Team Spice Money",2024-03-31 09:44:47,,https://twitter.com/SpiceMoneyIndia/status/1774289212776284191,Male,,,,0,0,6097,"Noida, india",0,0,0,True,Tweet,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@indianmobilesoftwareservic1698,@indianmobilesoftwareservic1698,Neutral,"आपने सही बोला भाई आप और हम जैसे बहुत से लोगो को एप्स कर के कितना commision मिल जाता है जो नई नई डिवाइस लाते रहेंगे 
घर बार भी देखना होता है इसे तो बढ़िया ह की काम ही छोड़ देना चाहिये",2024-03-31 09:19:17,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgxFGCYsaGSjYmOfdOd4AaABAg.A1b9yi33L9JA1d07x5xAJL,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! Hamare grahak sewa adhikari aapse jald hi sampark karenge. Regards, Team Spice Money",2024-03-31 08:55:51,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugy9NI8X6kHHyxcwV0B4AaABAg.A1ajB7uzTiVA1cySJUvdwy,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume share karein, hamari official customer care team aapse jald hi sampark karegi. aap hamse hamare official customer care 0120-3645645  par bhi sampark kar sakate hain. Regards, Team Spice Money",2024-03-31 08:54:14,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=UgxkTUK8r8n68p_LyRR4AaABAg.A1bSxxkmrFKA1cyGT_ppW8,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Namaskar! Aapse request hai ki please apna Mobile number & email id hume share karein, hamari official customer care team aapse jald hi sampark karegi. aap hamse hamare official customer care 0120-3645645  par bhi sampark kar sakate hain. Regards, Team Spice Money",2024-03-31 08:52:52,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugw3ElvGt4MHTHE6Hd14AaABAg.A1bf7vudQoxA1cy6RJ4Yhq,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"Dear Sir, Greetings! We thank you for the appreciation.Regards, Team Spice Money",2024-03-31 08:49:49,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgwnUpMuwJfsyRib_4B4AaABAg.A1ccZSMKfMQA1cxlB1Vrvp,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"प्रिय महोदय, नमस्कार! हमारे ग्राहक सेवा अधिकारी जल्द ही आपसे संपर्क करेंगे। सादर, टीम स्पाइस मनी",2024-03-31 08:47:51,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=402403132688680&reply_comment_id=7426264044086761,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@mangleshuike4483,@mangleshuike4483,Positive,Sabse best spice money,2024-03-31 05:44:35,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgwnUpMuwJfsyRib_4B4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-30,youtube.com,@labakumarpatra5052,@labakumarpatra5052,Neutral,Paynerbay 31 March bata rahahi,2024-03-30 23:45:48,,https://www.youtube.com/watch?v=Cz4v5w1J8dE&lc=Ugy6hXXGkOcU7-dIO9l4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-30,youtube.com,@prosenjitghosh8925,@prosenjitghosh8925,Neutral,Yess,2024-03-30 23:21:16,,https://www.youtube.com/watch?v=XnF5-uLfaHg&lc=Ugxa8QqLJD0KAeWVGzd4AaABAg.A1ZQ3mSbyIVA1bwguXe5Ga,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-30,Facebook.com,FB User,FB User,Neutral,Mujhe kise melega,2024-03-30 22:52:32,,https://www.facebook.com/634639855377280/posts/817402500434347?comment_id=294562176867552,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
